MOF_name,Load [molecules/UC],Load [mol/kg framework],Enthalpy_Ads [KJ/mol],Host_Ads_vdW [K],Host_Ads_Coul [K],Ads_Ads_vdW [K],Ads_Ads_Coul [K],Ave_Heat_Cap [J/mol/K],Total_E [K],Ave_Dens [kg/m3],Fugacity [Pa],Molecule
SR_geo_v1-3c_triazine_Ch_v2-3c_pyrrole_Ch_v3-4c_Cu_1_Ch_ntn_edge_2B_2CF3_Ch_1x1x1,25.2020000000,1.9040054223,-6.78005,-75950.404224,0.00000,-10850.900203,0.00000,2355.88707,-14315.27455,107.87366,98295.62964388793625,23-dmb_433K_1Bar
SR_gwg_v1-4c_Cu_1_Ch_v2-3c_B_Ch_2B_4Br_Ch_ntn_edge_4x1x1,31.0228000000,1.0811643592,-34.67884,-163413.495324,0.00000,-17978.503607,0.00000,3830.26983,-90949.79081,152.63862,98295.62964388793625,23-dmb_433K_1Bar
SR_hbr_v1-8c_Zr_1_Ch_v2-8c_Zr_1_Ch_1B_2NO2_Ch_1x1x2,29.5588000000,0.8944684320,-9.21566,-105344.018537,0.00000,-8821.498412,0.00000,3644.27570,-30274.52610,65.26923,98295.62964388793625,23-dmb_433K_1Bar
SR_hey_v1-4c_Cu_1_Ch_v2-3c_pyrrole_Ch_v3-3c_triazine_Ch_1B_2NO2_Ch_ntn_edge_1x1x1,27.9142000000,2.0268897709,-24.63800,-109049.801044,0.00000,-17519.903690,0.00000,3535.33742,-47083.92933,154.51207,98295.62964388793625,23-dmb_433K_1Bar
SR_hof_v1-4c_Cu_1_Ch_v2-3c_B_Ch_2B_2CF3_Ch_1x1x2,19.6946000000,1.2318492533,1.66697,-45831.216889,0.00000,-2143.050102,0.00000,2366.36938,8302.47598,26.21267,98295.62964388793625,23-dmb_433K_1Bar
SR_htp_v1-6c_B_Ch_v2-6c_Cr_1_Ch_1B_4CN_Ch_2x2x2,44.8522000000,0.8956599403,-26.65070,-223889.511030,0.00000,-21032.411673,0.00000,4082.99461,-116976.74471,92.88121,98295.62964388793625,23-dmb_433K_1Bar
SR_hyk_v1-4c_Cu_1_Ch_v2-6c_bicyclooctane_Ch_v3-4c_bicyclooctane_Ch_1B_2Br_Ch_2x2x1,290.9898000000,3.3129079394,-25.38791,-1122296.386616,0.00000,-299846.328529,0.00000,35960.73899,-586862.62418,265.16378,98295.62964388793625,23-dmb_433K_1Bar
SR_hyl_v1-3c_triazine_Ch_v2-6c_Cr_1_Ch_v3-4c_bicyclooctane_Ch_1B_2Br_Ch_ntn_edge_2x2x1,121.0928000000,2.1254382067,-31.39017,-650640.178513,0.00000,-108002.808352,0.00000,10854.35863,-409150.34872,221.39936,98295.62964388793625,23-dmb_433K_1Bar
SR_hyx_v1-3c_triazine_Ch_v2-4c_Cu_1_Ch_v3-4c_B_Ch_1B_2F_Ch_ntn_edge_2x2x1,56.2096000000,3.0878199823,-34.27553,-281832.319722,0.00000,-37779.683430,0.00000,7178.32537,-157808.58506,219.26101,98295.62964388793625,23-dmb_433K_1Bar
SR_iab_v1-3c_B_Ch_v2-4c_Cu_1_Ch_v3-4c_Cu_1_Ch_ntn_edge_1B_4CN_Ch_2x2x1,,,,,,,,,,,,23-dmb_433K_1Bar
